datetime,elapsed_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
2000/01/17@00:18:49,270,0.024719238,-0.014465332,1.0420532,-0.55725192,1.6259542,-0.8091603
2000/01/17@00:18:50,271,0.0253906252,-0.015258789,1.0391846,-3.58778632,-0.091603052,-1.091603
2000/01/17@00:18:51,272,0.027160644,-0.019348144,1.0411987,-2.5114504,0.55725192,-1.3740458
2000/01/17@00:18:52,273,0.019714356,-0.02734375,1.043457,-4.1374044,0.13740458,-1.88549616
2000/01/17@00:18:53,274,0.029541016,-0.028076172,1.0372314,-2.7328244,0.5496183,-1.72519084
2000/01/17@00:18:54,275,0.020874024,-0.013244629,1.045227,-1.6335878,0.961832064,-1.1374046
2000/01/17@00:18:55,276,0.030456542,-0.016723632,1.043457,-2.335878,0.6335878,-1.0763359
2000/01/17@00:18:56,277,0.026245118,-0.01965332,1.0387573,-1.778626,0.90839692,-1.2137405
2000/01/17@00:18:57,278,0.030334472,-0.016967774,1.0447388,-2.40458,0.77099232,-0.8396947
2000/01/17@00:18:58,279,0.020812988,-0.006286621,1.048706,-0.5038168,1.5954199,-1.1908396
2000/01/17@00:18:59,280,0.0214843736,-0.009277344,1.0476074,-0.67175576,1.5114504,-1.1908396
2000/01/17@00:19:01,282,0.02355957,-0.014160156,1.0474243,-1.1374046,1.129771,-1.1526718
2000/01/17@00:19:02,283,0.023132324,-0.016662598,1.046814,-1.3282443,1.0,-1.1068702
2000/01/17@00:19:03,284,0.01940918,-0.0048217772,1.0476684,-1.85496184,1.0229008,-0.84732824
2000/01/17@00:19:04,285,0.0277099616,-0.0203247068,1.0523071,-1.6335878,0.9236641,-0.9847328
2000/01/17@00:19:05,286,0.025939942,-0.016967774,1.0444946,0.206106868,1.870229,-0.6335878
2000/01/17@00:19:06,287,-0.005493164,0.020202636,1.0586548,-4.366412,-1.480916,-0.8244275
2000/01/17@00:19:07,288,0.012756348,0.001159668,1.0480347,-1.1908396,0.6946565,-3.4198472
2000/01/17@00:19:08,289,0.028747558,-0.030029296,1.0418091,0.458015268,2.0610688,-3.45038168
2000/01/17@00:19:09,290,0.028930664,-0.020446778,1.0525513,-4.885496,-1.0458015,-1.8625954
2000/01/17@00:19:10,291,0.046691896,-0.054626464,1.0189209,17.221374,10.5801528,-5.70229
2000/01/17@00:19:11,292,0.041015624,-0.030578614,1.0453491,-2.7251908,0.3816794,-1.648855
2000/01/17@00:19:12,293,0.038513184,-0.03515625,1.039917,-2.1603052,0.6946565,-1.2366412
2000/01/17@00:19:13,294,0.04168701,-0.03515625,1.0456543,-1.9236641,0.9847328,-1.1450381
2000/01/17@00:19:14,295,0.032043456,-0.025756836,1.0441894,-1.6335878,1.1145039,-1.68702284
2000/01/17@00:19:15,296,0.045776368,-0.026000976,1.0421142,2.778626,2.9694658,-0.86259544
2000/01/17@00:19:16,297,0.04071045,-0.034179688,1.045227,-0.6793893,1.0992366,-1.3129771
2000/01/17@00:19:17,298,0.04534912,-0.0357666,1.0437012,-2.351145,0.67175576,-1.2519084
2000/01/17@00:19:19,300,0.039245604,-0.032165528,1.0488281,1.1603054,2.221374,-0.55725192
2000/01/17@00:19:20,301,0.045166016,-0.038024904,1.0429077,-0.13740458,1.832061,-1.0305344
2000/01/17@00:19:21,302,0.043762208,-0.034423828,1.0411987,-2.8244274,0.03816794,-0.71755732
2000/01/17@00:19:22,303,0.04559326,-0.034362792,1.045044,-3.038168,0.4961832,-0.9236641
2000/01/17@00:19:23,304,0.042236328,-0.03112793,1.0479736,0.35877864,1.82442752,-1.2061069
2000/01/17@00:19:24,305,0.04699707,-0.038146972,1.0430908,-2.038168,0.78625952,-1.0992366
2000/01/17@00:19:25,306,0.049438476,-0.036621092,1.0487671,-2.557252,0.52671752,-0.961832064
2000/01/17@00:19:26,307,0.0546875,-0.05407715,1.0401001,-3.4198472,-0.2519084,-1.88549616
